State,Start Time,Duration
2,1734384581.867896,0.8999999999999999
2,1734384582.231243,0.9999999999999999
2,1734384582.5903206,1.0999999999999999
2,1734384582.9433587,1.2
2,1734384583.2984474,1.3
2,1734384583.6474202,1.4000000000000001
2,1734384583.9981787,1.5000000000000002
2,1734384584.345598,1.6000000000000003
2,1734384584.695282,1.7000000000000004
2,1734384585.0486794,1.8000000000000005
2,1734384585.408646,1.9000000000000006
2,1734384585.7868972,2.0000000000000004
2,1734384586.1512191,2.1000000000000005
2,1734384586.5126586,2.2000000000000006
2,1734384586.8724618,2.3000000000000007
2,1734384587.2381454,2.400000000000001
2,1734384587.59818,2.500000000000001
2,1734384587.9699278,2.600000000000001
2,1734384588.3483603,2.700000000000001
2,1734384588.9229288,2.800000000000001
2,1734384591.5349965,2.9000000000000012
2,1734384591.8927357,3.0000000000000013
2,1734384592.2652643,3.1000000000000014
2,1734384592.625772,3.2000000000000015
2,1734384592.984757,3.3000000000000016
2,1734384593.35653,3.4000000000000017
2,1734384594.0409706,3.5000000000000018
2,1734384594.7251465,3.600000000000002
2,1734384595.4552648,3.700000000000002
2,1734384595.8126373,3.800000000000002
2,1734384596.1812737,3.900000000000002
2,1734384596.5544543,4.000000000000002
2,1734384597.192394,4.100000000000001
2,1734384597.723488,4.200000000000001
2,1734384598.4341307,4.300000000000001
2,1734384599.3211892,4.4
2,1734384599.7793703,4.5
2,1734384600.1389143,4.6
2,1734384600.5004146,4.699999999999999
2,1734384600.8551428,4.799999999999999
2,1734384601.2133095,4.899999999999999
2,1734384601.6831086,4.999999999999998
2,1734384602.3836005,5.099999999999998
2,1734384602.9503186,5.1999999999999975
2,1734384603.4732072,5.299999999999997
2,1734384603.8275192,5.399999999999997
2,1734384604.189198,5.4999999999999964
2,1734384604.551883,5.599999999999996
2,1734384604.908657,5.699999999999996
2,1734384605.2738464,5.799999999999995
2,1734384605.6332185,5.899999999999995
2,1734384605.9956813,5.999999999999995
2,1734384606.3538303,6.099999999999994
2,1734384607.330904,6.199999999999994
2,1734384608.2171817,6.299999999999994
2,1734384608.611067,6.399999999999993
2,1734384608.9742506,6.499999999999993
2,1734384609.3418782,6.5999999999999925
2,1734384609.7023194,6.699999999999992
2,1734384610.0666542,6.799999999999992
2,1734384610.4208677,6.8999999999999915
2,1734384610.7761114,6.999999999999991
2,1734384611.1414356,7.099999999999991
2,1734384611.5043879,7.19999999999999
2,1734384611.8614006,7.29999999999999
2,1734384612.22116,7.39999999999999
