State,Start Time,Duration
0,1734464558.290376,0.1
2,1734464562.2633767,0.1
0,1734464564.9958587,0.1
0,1734464653.5184412,0.1
2,1734464656.4376504,0.1
0,1734464661.6918714,0.1
0,1734464689.5699804,0.1
2,1734464691.7559602,0.1
0,1734464695.662891,0.1
0,1734464698.6913822,0.1
0,1734464701.9105835,0.1
0,1734464705.8424225,0.1
0,1734464708.7023208,0.1
0,1734464744.4898953,0.1
2,1734464755.8565762,0.1
0,1734464759.9172502,0.1
0,1734464770.0828683,0.1
0,1734464774.620047,0.1
0,1734464780.120116,0.1
0,1734464783.505545,0.1
0,1734464786.8023982,0.1
0,1734464793.3290381,0.1
0,1734464800.9430363,0.1
